Participant_ID,Age,Gender,Sport_Type,Experience_Years,Training_Method,Adaptation_Type,Session_Count,Session_Duration_Min,Training_Period_Weeks,Intervention_Intensity_Level,Intrinsic_Motivation,Extrinsic_Motivation,Anxiety_Level,Stress_Coping_Ability,Resilience_Index,Self_Confidence_Score,Performance_Score,Training_Adherence_Rate,Post_Session_Satisfaction_Score,Motivation_Gain,Confidence_Gain,Stress_Reduction_Percentage,Adaptation_Effectiveness_Score
42,25,Male,Athletics,3,Cognitive Restructuring,Feedback-based,10,51,9,Medium,57,88,79,57,51,40,91,85,59,4.39,10.55,17.23,7.489725687
43,21,Male,Football,2,Mindfulness,AI-guided,11,87,10,Medium,78,75,40,86,59,90,66,81,52,2.61,5.41,5.36,12.02146265
44,19,Female,Athletics,5,Goal-setting,Feedback-based,6,87,10,Low,75,51,28,80,79,84,54,89,90,9.55,18.09,22.44,14.37929068
45,23,Male,Tennis,6,Goal-setting,Coach-adjusted,19,51,4,Medium,59,80,70,88,99,52,78,76,94,5.04,8.29,23.64,10.01506835
46,27,Male,Tennis,7,Mindfulness,Feedback-based,15,78,7,High,75,58,63,53,94,43,53,85,67,9.14,11.33,16.3,14.99197897
47,21,Male,Tennis,4,Mindfulness,Feedback-based,14,81,8,Medium,83,51,48,54,54,40,59,95,96,3.16,18.22,18.93,3.627090575
48,29,Male,Tennis,7,Mindfulness,Feedback-based,6,71,4,Medium,90,48,28,70,82,88,66,60,85,7.74,12.86,23.45,16.83452056
49,19,Male,Tennis,8,Self-talk,Coach-adjusted,14,35,5,High,56,46,48,40,50,79,59,67,96,8.46,3.22,19.14,13.57825558
50,27,Female,Swimming,1,Goal-setting,Coach-adjusted,5,44,5,Medium,53,67,76,92,67,71,66,94,71,1.73,18.86,8.05,5.719829303
51,22.02040199,Male,Football,8.96695034,Self-talk,AI-guided,22.08956409,50.23036169,4.474229517,High,66.44358196,85.18896001,45.43914348,65.96206264,88.91372906,70.29184011,71.19183338,79.76969993,77.46443973,7.383530262,2.951848754,5.019774466,13.67101264
52,25.54689099,Female,Tennis,4.818794861,Goal-setting,Feedback-based,10.3041907,44.32671505,9.923012179,Medium,94.22262764,87.61270505,42.32899464,56.85844723,83.55820993,84.54823202,88.53212267,82.72366253,66.07703834,6.069084876,14.19679385,14.11514328,16.78136535
53,27.39754504,Female,Tennis,9.29195214,Visualization,Feedback-based,5.594873906,62.60534298,5.622220608,High,93.94967303,80.89543213,56.35656061,72.54730685,53.13937635,25.8843534,79.54067124,80.74545813,44.87553648,5.160028443,2.830804822,14.85946169,14.84754259
54,28.51907506,Female,Tennis,3.033074081,Goal-setting,Coach-adjusted,7.988767237,51.68133702,8.813938383,Low,71.19840613,65.54170753,55.07541641,64.62843182,69.38478771,47.05085445,77.43415407,78.65758993,79.75789017,0,9.472883403,17.08570431,12.50575209
55,28.43614251,Female,Tennis,5.121217912,Mindfulness,Feedback-based,18.74387168,57.85861346,7.277599614,Low,66.07820967,51.43196437,32.12279315,67.41619695,40.44856263,91.29957848,86.60176327,88.01321963,80.92057631,5.495739403,11.19916232,16.21952257,8.368911642
56,28.15766508,Male,Athletics,0,Self-talk,Coach-adjusted,8.000126837,68.29915932,7.013285481,Low,81.14590912,65.00642554,82.82728849,76.59570752,82.54836646,60.3838835,67.62594628,97.19607655,57.74844341,8.882637614,13.66204287,19.83889002,18.18915398
57,27.48888464,Female,Athletics,2.874800271,Mindfulness,AI-guided,8.196420892,67.25114505,4.214192396,Medium,71.47505733,74.61320199,43.2151042,71.53701118,57.21694018,54.4465008,46.71546087,81.90854611,60.61364389,7.435034002,10.50039758,27.06340351,6.379273655
58,21.45499379,Male,Tennis,5.022802159,Goal-setting,AI-guided,1.797201529,70.49827708,6.675438201,Medium,48.2899633,62.1376952,15.66115548,70.54393763,68.19289878,70.29884734,100,82.17842312,70.45634389,8.220492164,9.76219925,10.37143202,18.38189997
59,17.99647053,Male,Football,5.149868823,Mindfulness,Coach-adjusted,11.1506495,65.83232004,10.38275893,High,61.36239459,60.11959289,84.57013301,43.43430261,93.50037645,45.59705761,69.76742016,65.90828029,67.88260233,2.795885274,10.01798902,9.543544567,10.4458057
60,24.21593745,Female,Tennis,7.849652385,Goal-setting,Coach-adjusted,11.90633566,54.02292753,7.169325821,Medium,52.36999538,45.42023747,49.38719486,87.14710104,100,65.39827826,67.33963157,55.2863261,85.85665919,7.854872238,11.34639321,18.06295721,14.44303767
61,28.46111718,Female,Basketball,0.814515722,Visualization,Feedback-based,16.34077428,58.50658151,7.985547243,Medium,46.39645745,82.41534726,47.1872425,88.29390408,81.67693844,52.20008869,68.14893542,71.76248237,85.88436842,17.37311681,18.55062333,21.59435107,15.9058436
62,26.94846034,Female,Athletics,4.767045809,Self-talk,Coach-adjusted,9.559140142,75.21830459,1.592625554,Low,77.5456822,49.09070734,50.48324106,87.75326074,74.59241786,73.25471925,51.78020873,75.63796951,49.90900871,10.4976666,12.51287418,11.93383895,10.30193152
63,20.61432662,Male,Basketball,5.97871985,Self-talk,AI-guided,5.919221935,66.05945634,10.75466493,High,72.05622331,66.09988646,0,100,47.16871587,68.44348373,72.79103821,81.73034592,100,5.16538956,6.090976543,12.62295201,19.83678601
64,23.13017524,Male,Football,5.967720932,Goal-setting,Feedback-based,19.01479734,68.53562425,4.342409663,Medium,25.37804131,57.01055857,46.9693696,81.51910631,77.49909179,81.98579571,57.69318797,67.99284956,67.38037619,10.8556618,1.138985415,6.459449531,11.35379609
65,30.98387181,Male,Football,3.500725339,Mindfulness,Feedback-based,15.35183258,74.47422294,6.921903992,Medium,97.59215203,51.50750738,61.17355415,100,94.9797227,58.67213406,81.99481875,99.45992754,82.53033201,4.022405851,6.745122634,12.36791923,11.0329714
66,32.53499521,Male,Swimming,0,Goal-setting,Coach-adjusted,11.3629386,72.21992685,9.892564505,Low,81.22241047,69.94741875,42.516831,69.67666244,62.11649776,97.19183523,92.43319147,71.59759692,97.39747121,13.91250244,2.980853074,8.995012209,11.23061721
67,27.62219212,Male,Tennis,0,Goal-setting,AI-guided,7.128239485,60.97848062,9.513982064,Low,73.26246683,64.91930974,67.72103736,82.18494716,65.90318637,47.30955946,72.5368168,64.35506093,79.76932812,0.621356666,6.896377054,11.08249819,16.75201161
68,21.94771688,Female,Football,6.212495875,Goal-setting,AI-guided,14.52286869,61.98819958,9.107382079,Low,67.68847823,70.63426089,27.68550414,58.4589768,62.36393441,72.71770949,62.2298925,90.5193641,62.80654518,9.211643485,6.281531696,26.37994761,11.09392977
69,20.98065956,Male,Athletics,3.575886334,Self-talk,Coach-adjusted,11.24435455,62.8900731,7.771927883,Medium,72.04204367,49.34819941,28.73104202,57.92362827,58.92083911,47.05105591,57.01231769,100,77.1703912,8.57321084,12.24327445,16.79922135,12.57464381
70,23.72015623,Male,Athletics,5.326172107,Mindfulness,Feedback-based,10.12327211,50.14371547,7.265348623,Low,75.43653233,53.09155838,66.96678467,82.35442529,57.10047258,56.33942302,78.02854143,92.67126875,93.78843154,11.56641534,4.640978312,16.98616302,18.81719085
71,24.41338004,Male,Football,1.338913211,Mindfulness,Feedback-based,20.16899379,77.22094679,11.7098662,Low,79.78721302,83.27541446,11.03936426,81.50350169,99.03230169,87.82983339,68.66481678,59.15526178,64.10918901,5.61889685,8.393911548,14.72746533,16.38740134
72,29.06962131,Male,Football,5.484982113,Mindfulness,Feedback-based,11.85224536,33.64102758,6.730284872,Low,83.48034416,75.53272918,68.78455045,66.21151134,58.88449981,84.82736806,43.46150357,88.54407289,60.74103119,4.020688792,16.1636633,16.95509559,11.14979042
73,23.02784062,Female,Tennis,9.57541505,Goal-setting,Coach-adjusted,15.91847479,100,5.889848816,Low,64.56267297,80.25454753,41.61891553,39.04575404,74.87382626,66.86789871,61.3111503,75.42028682,60.30599194,0.879156518,14.85468065,11.06877349,8.452849269
74,30.98259939,Female,Swimming,6.156656967,Visualization,Feedback-based,19.03008721,48.42965597,6.952897037,Medium,86.42661398,83.52924659,49.25819787,72.43608204,85.11936798,88.10515832,59.66868083,64.31661801,53.8172639,12.36263637,9.660536557,15.33210579,9.280480124
75,23.35056338,Male,Tennis,3.202231288,Goal-setting,AI-guided,5.401912209,45.07648572,9.746889701,Low,57.60275412,67.97459084,41.89312692,80.9970148,82.57301877,62.43376516,76.31174934,50.75202345,77.31470442,10.4723889,10.95116761,18.49917717,8.473998286
76,29.30302829,Male,Swimming,5.995915743,Goal-setting,Coach-adjusted,9.67135454,59.43032454,8.575884652,Low,66.55116604,63.47910033,10.6798115,88.6684754,71.69654852,92.81496611,74.21231765,77.5365996,63.87922706,14.72396837,16.32411932,17.68662884,7.951751933
77,28.9546149,Female,Tennis,2.924655201,Self-talk,AI-guided,15.07504373,54.15382103,10.40449181,Low,70.50081817,62.5565213,38.31161514,93.1890967,79.03949487,49.41255589,89.04328091,79.5646389,54.46040386,12.29059973,13.38745911,18.35171336,13.89713262
78,24.96730837,Male,Athletics,6.924908622,Self-talk,Feedback-based,14.26364447,67.26729163,7.817125277,High,75.07154488,58.08308701,25.81428113,48.5997397,73.89510436,75.99970791,57.06731052,68.44789901,70.07447052,4.423323123,17.04418373,5.534347726,10.21770465
79,27.65108086,Male,Swimming,2.030469467,Self-talk,Coach-adjusted,11.28401143,55.75075408,8.418573155,High,50.9419483,87.55070456,58.72474334,76.1488199,75.75398464,72.91061522,57.70964483,72.40951806,56.05687035,6.503810694,11.96874844,19.87290913,13.59269142
80,29.76727101,Male,Basketball,1.933625717,Mindfulness,Feedback-based,13.58326348,78.73352259,6.352991532,Low,67.05459643,79.00085582,30.81418093,60.74303087,72.54334187,81.37428858,71.49079603,80.05231274,84.483281,7.430586804,6.115738678,17.39313695,13.71068451
81,21.7350601,Male,Swimming,3.861797902,Goal-setting,Feedback-based,5.594341738,55.47178342,7.683858927,Medium,82.23536074,52.56576316,10.46075014,78.70859611,47.73817287,65.65174972,90.52700814,82.06455271,66.2591529,12.83034729,23.20573558,22.88483849,8.254306619
82,22.33078123,Male,Football,4.789162394,Goal-setting,AI-guided,8.437200242,78.94861201,9.462022256,Low,95.23675444,70.55927331,39.20325598,72.80081883,79.7129831,67.8149442,75.08779638,67.80037945,73.05696993,4.73593317,17.84567494,13.0425812,12.01363144
83,24.76499502,Male,Athletics,7.905092393,Visualization,Feedback-based,14.07772066,57.42013142,4.08840633,Low,70.27601514,78.2736104,31.27494328,54.05460822,100,67.83027048,82.92176724,100,55.5760662,5.856977627,16.93353648,18.95133055,15.86075368
84,28.81514413,Male,Tennis,2.60629899,Goal-setting,AI-guided,13.06967025,67.91636882,2.481579833,Medium,61.34060002,56.58099326,32.32811184,64.74784833,79.96753219,74.71117302,72.3496514,59.59821921,63.2637509,4.272290688,10.9971775,19.52063148,14.36309093
85,32.37467855,Female,Football,3.047148674,Goal-setting,Feedback-based,9.161733167,59.54561418,8.33596649,Low,79.03131393,72.89245802,32.27196903,90.51433308,55.26677843,64.42831048,67.31589964,69.66622563,80.19189208,11.2205396,12.60480509,15.93389117,10.95024616
86,19.83760552,Male,Swimming,4.016208468,Goal-setting,Feedback-based,10.72662879,71.39983121,10.85700899,Low,80.74922673,73.08058904,87.25262855,85.75114681,67.46772824,68.48082145,84.70219635,88.69880971,74.61568744,7.113292942,11.78089498,21.33633068,6.354509288
87,26.24407237,Male,Football,6.783414729,Visualization,Feedback-based,13.52774878,56.84289558,8.06240567,Low,84.82692374,67.25299438,55.54786996,85.23462089,51.79497262,77.34296163,74.14248783,72.79710056,47.60051914,11.71133699,16.03159395,3.251165588,5.678810909
88,26.32191572,Male,Tennis,6.24051323,Visualization,Feedback-based,10.60410855,62.32925849,5.769592355,High,74.9325241,49.52909717,22.72959465,43.41192105,51.46501323,45.62528966,45.49311423,74.89850557,83.19215724,8.192061044,12.47307743,7.569027769,9.692524878
89,18.92673982,Female,Swimming,6.162998618,Goal-setting,Feedback-based,10.78867186,47.57134222,6.12204049,Medium,89.18655229,79.37963676,22.45189207,69.20178218,64.89072977,58.18138787,64.94265068,80.02220149,92.201415,9.746736757,8.020365213,13.1150605,12.36058191
90,27.38376369,Female,Athletics,3.937175744,Cognitive Restructuring,AI-guided,10.38466767,75.84028488,7.61464557,Medium,63.48461896,66.09064772,29.09562867,70.29788719,64.58317973,39.84900695,80.0465951,79.83256756,73.43414615,6.717139273,6.136873681,17.08791161,12.56418651
91,20.90469793,Male,Tennis,3.677821808,Self-talk,Feedback-based,10.02055536,23.25737136,5.660609919,Low,79.98973963,62.9262602,45.78125113,80.38080776,84.04606414,53.88625466,83.42159244,86.6778769,70.05248132,7.943599445,7.091026627,7.960924599,10.38431264
92,40.25463491,Male,Tennis,0,Mindfulness,Coach-adjusted,10.105689,45.71068563,5.742565192,Medium,85.59902338,79.57885332,67.10743943,65.56125369,67.93873299,66.73153242,40.2117639,86.10531844,70.65422829,0.43439007,14.83242336,20.86999844,16.02531885
93,19.5889059,Female,Athletics,2.18831209,Mindfulness,Feedback-based,4.001956094,61.27759057,6.050339689,Medium,53.0171933,65.0086506,59.31110244,74.923018,68.16477727,80.35149295,71.44401492,95.16438845,84.35417771,11.72704284,1.950705806,29.16590345,3.386080511
94,28.34348316,Male,Tennis,0.202842006,Goal-setting,Feedback-based,10.85635885,63.22133522,5.200132286,Medium,68.23121585,66.13957443,17.13838534,76.75566876,59.66224361,86.21309757,92.83353064,94.25909129,59.08014092,9.585980304,13.01568146,20.12690074,18.1083381
95,27.2644151,Female,Tennis,1.595859282,Goal-setting,Feedback-based,6.831474356,34.94124112,8.090679345,Low,79.42482627,74.75339563,0,79.97481707,67.13097512,49.85580875,68.84666401,76.11184142,85.43524505,6.449262291,15.30056933,8.305540492,19.25049746
96,22.79591154,Female,Basketball,1.32239567,Visualization,AI-guided,5.090586424,64.80938767,8.351827125,Medium,68.40670137,51.90027986,77.99851534,66.26564468,63.45180581,63.20475165,61.223777,83.82117685,83.15470081,14.1063414,14.33198729,11.82475667,14.20036057
97,26.86092006,Female,Swimming,7.320802099,Self-talk,Feedback-based,7.847183534,57.20791306,11.9495553,Medium,50.69620597,64.71699674,0,43.8788906,78.87170572,45.12126702,59.85195521,89.21533901,80.58832939,7.786317318,6.328463768,12.05559287,13.58305105
98,30.98973567,Male,Football,8.60949479,Goal-setting,Coach-adjusted,14.37772612,79.12559852,7.84085399,Medium,69.14937856,65.0190948,52.77508252,70.8826472,68.53630783,69.32260233,72.49523676,75.77155136,77.17811199,11.30813741,17.83619104,23.83054845,8.465536154
99,33.51357992,Male,Swimming,8.710619993,Self-talk,Feedback-based,10.31649593,69.62435179,9.839096673,Medium,67.14870877,81.99540727,36.44049254,66.53705118,54.35282715,55.24019534,90.27259917,77.42651525,96.05169428,6.042057235,5.570393057,12.61356433,11.77712847
100,28.32122077,Male,Athletics,3.081411619,Mindfulness,Coach-adjusted,2.906788616,64.64008246,7.591833833,Low,59.28437132,61.67866242,31.41436426,78.93817638,78.20035978,49.89320742,97.27737558,74.26829732,63.856244,11.6438014,9.48391157,24.5780231,14.25680903
101,29.32100907,Male,Tennis,5.695687059,Cognitive Restructuring,AI-guided,14.22953199,58.81384218,6.703356019,Medium,55.33646139,59.96423444,45.53283506,41.68885527,75.46263132,71.61197024,51.86970522,79.75222411,95.15946468,7.040202383,4.222818196,17.18566922,12.607305
102,23.918301,Male,Basketball,2.648238767,Mindfulness,Coach-adjusted,9.480791622,76.40122046,7.896097483,Medium,78.80570921,65.72417777,49.50689247,83.72211327,80.17938103,53.8128658,76.61260356,45.58455828,82.65752027,4.921903235,11.86625936,15.64215981,10.33809017
103,22.9841544,Female,Swimming,10.16836522,Cognitive Restructuring,Feedback-based,11.65217111,74.34963614,7.572321613,High,59.66423075,86.67514908,55.55758651,72.18360003,65.24146036,71.58443501,67.0623813,97.02428894,67.87943691,2.261796698,3.352847442,22.41870173,14.09119616
104,35.58874363,Male,Tennis,0.761542853,Goal-setting,AI-guided,8.963365877,29.85784712,8.409477219,High,79.08690031,64.31983422,48.01207369,68.18413243,69.74251553,66.282463,69.68037799,71.92032339,100,11.35226789,14.72807393,9.305262298,11.58084886
105,21.55315587,Male,Athletics,9.122965249,Mindfulness,AI-guided,9.31931478,61.03102184,5.150069716,High,65.07538029,86.55050451,18.15486533,38.79713435,76.58739529,69.40627237,43.85428744,75.71775217,71.38135308,8.246835579,7.985522718,11.65325423,12.21058189
106,17.55978514,Male,Basketball,3.212181345,Cognitive Restructuring,AI-guided,13.02260958,36.44316766,7.497123938,Medium,64.47909211,82.51864853,83.11957761,58.85973519,97.8467666,64.87579196,71.54029793,83.06392174,54.26193288,4.998980296,19.23873712,16.36998437,8.913379016
107,22.027091,Female,Tennis,10.09748012,Visualization,AI-guided,12.43808252,79.33982645,8.547688481,High,63.97065287,76.30506479,0,58.75920182,51.34078574,93.65211731,74.86523943,82.3442258,90.98600956,5.911369477,11.91012726,9.067611135,18.4506494
108,23.58572233,Female,Swimming,2.976141637,Cognitive Restructuring,Coach-adjusted,11.01334913,70.47962402,3.709787676,High,61.87761014,68.27827971,36.97820628,79.40524957,63.86525857,62.55566401,60.30036875,71.8582765,81.56776987,0.025737763,9.339418047,9.208531461,13.25364766
109,28.34205242,Male,Swimming,0,Cognitive Restructuring,Coach-adjusted,10.32629954,46.52115596,6.488407411,Low,60.30194766,43.15623189,42.12993499,100,86.76848278,74.12855768,66.89232052,87.52682166,53.79551836,11.02348044,13.23930124,24.03846867,7.633978916
110,25.21357885,Female,Athletics,1.962076289,Self-talk,Feedback-based,10.7990407,77.03396499,8.878889853,Medium,64.3632491,51.98326555,61.60478387,89.05505443,83.24555285,83.44937435,58.3431637,81.33025219,88.77041711,7.175719475,15.95300577,16.5843837,12.49915009
111,27.12695654,Male,Football,3.883416918,Goal-setting,AI-guided,10.97827809,43.59277981,10.42136343,Medium,61.56168513,80.00495623,23.80670889,29.71164913,77.61112047,85.62530954,85.72809075,73.72883494,67.83293791,7.336427847,16.39179438,19.62508829,11.98024123
112,22.80854508,Male,Football,3.940764269,Visualization,Coach-adjusted,11.57580014,42.87379608,9.070921761,Low,65.61246841,53.90635824,45.22197364,81.86033756,65.49780722,64.79800712,79.55766167,71.69521823,74.45731214,7.897757056,5.691919257,15.7951299,9.503795571
113,31.94330976,Female,Football,4.463151532,Self-talk,Feedback-based,12.10458774,39.58798489,3.727786443,Low,44.93215422,59.73560604,61.69724894,62.50429472,78.85347242,73.42617647,71.14695446,62.79283769,83.58267867,13.02235334,4.989602262,18.56734269,15.64041342
114,23.42573415,Male,Basketball,1.926319282,Mindfulness,AI-guided,13.45148412,76.85914437,6.730209919,Medium,93.98557032,79.92893362,68.65000407,87.09084416,85.88301274,65.20516316,62.66003218,94.72429492,81.95130593,8.128862927,13.87528229,5.721033181,8.886748653
115,23.34425537,Male,Athletics,0.499484844,Self-talk,AI-guided,18.36078434,53.72286782,3.826403464,Medium,70.55874175,58.79872713,42.62323773,96.95054013,78.10731691,61.84956418,70.38334825,74.88261389,94.49391323,3.86265872,12.43512497,17.98188808,18.44403518
116,27.32678901,Female,Swimming,2.315450781,Self-talk,AI-guided,4.144027831,66.22445896,7.730974877,Low,81.22295043,75.06258735,24.8313568,59.61646297,89.34490595,94.35337173,64.35919832,84.5433733,37.35799552,1.230418671,3.688700656,28.30953041,10.29035865
117,21.98839315,Male,Basketball,1.197633274,Self-talk,Coach-adjusted,13.14314735,56.72991454,5.146690254,Low,57.45365789,79.45679226,56.44257853,66.97749924,80.2817996,58.35491258,55.82605176,82.17999752,54.74277388,5.58080132,0,16.44872766,19.13668084
118,27.74656114,Male,Swimming,6.256549701,Mindfulness,Coach-adjusted,11.84089426,51.02747387,5.958607115,High,84.57009597,62.33562226,60.28164962,64.05004226,85.1296553,77.91469186,97.13042988,86.11491891,84.03901297,3.472116148,25.10776934,3.540578417,9.446799118
119,33.02721362,Male,Football,0,Self-talk,Feedback-based,10.48103873,65.07786834,10.04093653,Medium,99.67312227,53.34023881,0,57.1881604,78.49197053,74.03444645,60.54541611,77.62979871,97.38151086,9.103348499,6.281042498,18.56684379,16.43378479
120,26.49364375,Male,Athletics,5.806949485,Mindfulness,AI-guided,13.47595429,89.12484897,7.578086769,Low,88.02031202,66.89958348,82.32511226,48.87452071,88.41968707,81.28285792,91.53122394,79.8112911,78.21321533,10.86100264,12.04187743,16.86818935,14.35012261
121,14.58282635,Male,Swimming,10.27630942,Self-talk,Coach-adjusted,11.47124947,79.47690567,9.077923675,Low,75.87510742,77.17618681,35.0075597,49.94549147,70.35516689,64.13201087,68.28537288,89.28582169,47.48306527,8.458782923,5.446832309,22.85641791,11.31494563
122,22.37547846,Male,Basketball,8.854471963,Goal-setting,Coach-adjusted,13.19629903,94.00081474,8.071179013,Medium,87.12701706,69.41498355,59.24508647,59.18883071,70.19279598,89.72532648,88.31697179,76.2078114,86.94776385,3.780923269,15.10754337,14.42136199,12.95228321
123,25.26959771,Female,Swimming,7.404943761,Visualization,AI-guided,23.14554767,97.32755056,7.378942193,Low,58.50270584,90.70533084,33.57402026,69.48386217,73.12003763,70.00679996,86.89984757,71.48846217,66.17473764,7.547760232,6.988734861,11.65870024,8.574669057
124,30.04513177,Male,Swimming,3.225859378,Visualization,Feedback-based,7.643095536,82.41028149,4.421356979,Low,73.53033209,41.76003101,29.55457268,55.05788918,70.03091631,38.25127651,54.61022951,96.38623722,85.18670749,9.467101905,12.6253878,3.699322095,16.78704404
